id,name,abv,ibu,target_fg,target_og,ebc,srm,ph
211,Black Dog,5.5,60.0,1020.0,1062.0,230.0,115.0,4.4
295,Choco Libre,9.0,25.0,1020.0,1086.0,190.0,96.0,4.2
266,Small Batch: Lemon Meringue Pie,6.5,5.0,1015.0,1066.0,7.0,4.0,4.0
31,Nanny State,0.5,55.0,1005.0,1007.0,30.0,15.0,4.4
89,Citra,7.5,70.0,1013.0,1068.0,30.0,15.0,4.4
137,Sink The Bismarck!,41.0,1085.0,1016.0,1085.0,40.0,20.0,4.4
208,Sunshine On Rye - B-Sides,7.2,130.0,1010.0,1065.0,14.0,7.0,5.2
60,Dogma,7.5,30.0,1023.0,1080.0,46.0,23.0,4.5
215,Brixton Porter,5.0,50.0,1014.0,1053.0,200.0,100.0,4.4
106,Punk IPA 2010 - Current,5.6,40.0,1011.0,1055.0,15.0,7.6,4.4
130,Spiced Cherry Sour - B-Sides,6.5,20.0,1010.0,1060.0,,,3.2
107,HBC 366 - IPA Is Dead,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
88,Bavarian Weizen,6.3,55.0,1012.0,1060.0,30.0,15.0,4.4
303,Hazy Jane Rye Barrel Aged,7.2,30.0,1009.0,1065.0,15.0,8.0,4.2
97,Bowman's Beard - B-Sides,18.3,50.0,1011.0,1067.0,15.0,8.0,5.3
192,Punk IPA 2007 - 2010,6.0,60.0,1010.0,1056.0,17.0,8.5,4.4
204,"Cascade, Centennial & Willamette IPA - B-Sides",6.4,65.0,1011.0,1060.0,14.0,7.0,5.2
308,Very Big Moose,12.0,25.0,1038.0,1128.0,100.0,50.0,4.4
1,Buzz,4.5,60.0,1010.0,1044.0,20.0,10.0,4.4
39,Kohatu - IPA Is Dead,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
216,Barrel Aged Hinterland,9.0,85.0,1025.0,1094.0,400.0,200.0,4.3
84,Baby Saison - B-Sides,3.6,9.0,1004.0,1032.0,2.0,1.0,4.4
138,Dog A,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
33,Sorachi Ace,7.5,75.0,1013.0,1068.0,30.0,15.0,4.4
4,Pilsen Lager,6.3,55.0,1012.0,1060.0,30.0,15.0,4.4
30,Dana - IPA Is Dead,6.7,70.0,1015.0,1066.0,30.0,15.0,4.4
289,Hello My Name Is Lieke,8.2,70.0,1009.0,1070.0,15.0,8.0,4.4
200,Double IPA - Russian Doll,8.0,85.0,1013.0,1074.0,35.0,17.5,5.2
276,Nine To Five Wizard,7.5,35.0,1012.0,1069.0,20.0,10.0,4.3
58,Coffee Imperial Stout,9.0,65.0,1019.0,1080.0,97.0,49.0,4.4
13,Movember,4.5,50.0,1012.0,1047.0,140.0,70.0,5.2
243,Gin Blitz,3.2,8.0,1008.0,1038.0,8.0,4.0,3.2
222,Dog E,16.1,100.0,1125.0,1015.0,500.0,254.0,4.4
8,Fake Lager,4.7,40.0,1010.0,1046.0,12.0,6.0,4.4
188,Paradox Jura,10.0,55.0,1014.0,1128.0,300.0,152.0,4.4
133,Black Eye Joe (w/ Stone Brewing Co),5.8,40.0,1008.0,1053.0,177.3,88.7,4.4
21,Vice Bier,4.3,25.0,1010.0,1043.0,30.0,15.0,4.0
268,Hazy Jane,7.2,30.0,1009.0,1065.0,15.0,8.0,4.2
55,Amarillo - IPA Is Dead,7.2,70.0,1012.0,1067.0,30.0,15.0,4.4
296,Off-Duty Alien,6.5,50.0,1010.0,1060.0,20.0,10.0,4.4
189,AB:11,12.8,70.0,1020.0,1108.0,79.0,40.0,4.4
65,Bracken's Porter,5.0,50.0,1010.0,1049.0,110.0,55.0,4.4
36,Shipwrecker Circus (w/ Oskar Blues),10.5,85.0,1022.0,1102.0,64.0,32.0,4.4
203,Bitch Please (w/ 3 Floyds),11.5,50.0,1016.0,1104.0,38.0,19.0,4.4
71,Pale - Russian Doll,4.0,35.0,1010.0,1041.0,45.0,22.5,5.2
183,Nuns With Guns,4.2,25.0,1012.0,1044.0,19.0,9.5,4.4
177,Dog D,16.1,85.0,1015.0,1125.0,400.0,200.0,4.3
127,Galaxy,6.7,67.0,1064.0,1013.0,19.0,9.5,4.4
52,Paradox Islay,10.0,55.0,1014.0,1090.0,300.0,152.0,4.4
171,Challenger,6.7,67.0,1013.0,1064.0,19.0,9.5,4.4
104,India Pale Weizen (w/ Weihenstephan),6.2,50.0,1010.0,1056.0,35.0,17.5,4.0
187,Lichtenstein Pale Ale,5.2,50.0,1010.0,1050.0,17.0,8.5,4.4
2,Trashy Blonde,4.1,41.5,1010.0,1041.7,15.0,15.0,4.4
19,Hello My Name Is Mette-Marit,8.2,70.0,1013.0,1076.0,,,4.4
179,How To Disappear Completely,3.5,198.0,1010.0,1037.0,37.0,19.0,4.4
114,U-Boat (w/ Victory Brewing),8.4,50.0,1015.0,1080.0,200.0,100.0,4.4
311,Sonic Boom,6.5,60.0,1008.0,1058.0,11.0,6.0,4.6
72,Whisky Sour - B-Sides,7.0,20.0,1021.0,1081.0,12.0,6.0,3.2
212,Hop Fiction - Prototype Challenge,5.2,40.0,1010.0,1048.0,13.0,6.5,4.4
320,King of Eights,7.4,20.0,1009.0,1065.0,20.0,10.0,4.4
176,Old World India Pale Ale,7.5,80.0,1012.0,1069.0,50.0,25.0,4.4
195,Hello My Name Is Holy Moose,5.5,35.0,1011.0,1053.0,25.0,12.5,4.4
238,Kingpin,4.7,40.0,1008.0,1044.0,14.0,7.0,4.2
280,Make Earth Great Again,7.5,35.0,1004.0,1065.0,9.0,5.0,4.6
246,Casino Rye Ale,5.1,40.0,1009.0,1049.0,25.0,12.7,5.2
135,Growler,4.5,38.0,1008.0,1042.9,18.0,9.0,4.4
57,Prototype 27,9.2,149.0,1014.0,1083.0,19.5,9.8,4.4
98,Pumpkin King,5.4,20.0,1014.0,1055.0,30.0,15.0,4.4
264,Small Batch: East Coast Crush,4.8,25.0,1010.0,1047.0,15.0,8.0,4.2
250,Small Batch: Rye IPA,7.2,100.0,1010.0,1065.0,8.0,16.0,4.4
257,Semi Skimmed Occultist,8.0,70.0,1014.0,1080.0,160.0,81.28,4.1
27,Dog B,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
265,Pump Action Poet,7.5,40.0,1013.0,1070.0,12.0,6.0,5.2
271,Small Batch: Cranachan Cream Ale,6.5,8.0,1019.0,1069.0,10.0,5.0,4.3
49,AB:14,10.0,30.0,1016.0,1094.0,20.0,10.0,4.4
300,Indie Pale Ale,4.2,30.0,1008.0,1044.0,16.6,8.0,4.6
231,Ace Of Chinook,4.5,40.0,1011.0,1045.0,18.0,9.0,4.2
210,Dead Metaphor,6.8,30.0,1016.0,1068.0,86.0,43.0,4.4
202,Dog C,15.0,90.0,1003.0,1120.0,100.0,50.0,4.4
93,Mango Gose - B-Sides,6.4,40.0,1000.0,1057.0,10.0,5.0,3.5
217,Barrel Aged Albino Squid Assassin,9.2,65.0,1012.0,1069.0,60.0,30.0,4.2
258,Paradox Rye,13.0,100.0,1015.0,1112.0,300.0,152.0,4.4
313,Mallow Mafia,12.0,75.0,1025.0,1116.0,390.0,198.0,4.4
214,Cult Lager,5.4,50.0,1049.0,1008.0,19.0,8.0,4.1
205,Shareholder Black IPA 2011,7.1,80.0,1014.0,1067.0,71.0,36.0,4.4
